,freq,word
782,21,taxes.
783,715,see
784,39,deal!
785,11,warm
786,9,welcome.
787,60,i?m
788,90,excited
789,1,hyderabad
790,15,india
791,1,#ges2017.
792,1,https://t.co/1u08h5l9rm
793,7,@flotus:
794,1,decorations
795,62,up!
796,28,@whitehouse
797,146,ready
798,1,celebrate!
799,27,wishing
800,2,joyous
801,33,holiday
802,19,season!
803,3,https://t.co/?
804,1,@statedeptspox:
805,1,#ges2017
806,5,highlights
807,57,role
808,113,women
809,2,#entrepreneurs
810,2,demonstrates
811,7,importance
812,1,#innovation
813,1,partnershi?
814,55,children
815,6,@whitehouse!
816,1,#whitehousechristmas
817,1,https://t.co/hnw758zhzl
818,69,melania
819,20,lady
820,162,truly
821,95,loves
822,1371,what
823,551,she
824,98,thought
825,37,?if
826,883,run
827,6,win.?
828,158,tell
829,256,everyone
830,7,?no
831,52,doubt
832,17,felt
833,31,(or
834,2,run)
835,316,great!
836,79,least
837,10,24
838,46,players
839,3,kneeling
840,59,weekend
841,51,nfl
842,1,stadiums
843,4,filling
844,71,up.
845,27,fed
846,11,disrespect
847,49,paying
848,32,flag
849,9,anthem.
850,6,control!
851,1,rand!
852,1,https://t.co/nvpelevmub
853,123,home
854,28,sales
855,11,reach
856,133,10
857,2,gains.
858,61,hopefully
859,41,needed
860,14,going!
861,7,increases.
862,56,along
863,28,support.
864,76,few
865,20,changes
866,1,mathematical
867,451,job
868,2,producers
869,495,even
870,10,actual
871,100,dollars
872,9,savings
873,1,provision
874,19,becomes
875,1,simpler
876,33,works
877,22,well!
878,168,terrible
879,91,nobody
880,5,cares!
881,1,https://t.co/i7h4ryin3h
882,6,contest
883,17,networks
884,28,plus
885,82,cnn
886,189,fox
887,94,dishonest
888,32,corrupt
889,5,and/or
890,5,distorted
891,139,political
892,28,coverage
893,98,favorite
894,1,(me).
895,23,bad.
896,24,receive
897,1,trophy!
898,81,d.c.
899,305,other
900,255,come
901,71,us.
902,112,end
903,14,result
904,36,all!
905,168,office
906,73,phony
907,24,excuse
908,82,losing
909,1,russiarussia.
910,69,despite
911,3,booming
912,28,possibly
913,257,done
914,315,any
915,34,month
916,235,president.
917,1127,make
918,41,endorsed
919,21,luther
920,27,strange
921,15,primary.
922,42,shot
923,421,way
924,146,polls
925,11,wasn?t
926,18,enough.
927,87,can?t
928,248,let
929,28,race.
930,42,liberal
931,14,jones
932,42,bad!
933,621,last
934,194,thing
935,790,need
936,474,u.s.
937,7,puppet
938,438,bad
939,44,vets
940,59,2nd
941,22,amendment
942,215,wants
943,9,raises
944,2,sky.
945,32,disaster!
946,30,didn?t
947,49,realize
948,471,did
949,29,much.
950,3,report!
951,641,you.
952,1,https://t.co/apvbu2b0jd
953,20,.@foxnews
954,42,outside
955,118,international
956,239,still
957,11,source
958,2,(fake)
959,23,represent
960,96,nation
961,4,poorly.
962,315,does
963,104,truth
964,41,them!
965,33,recent
966,26,editorial
967,103,wall
968,13,journal
969,33,@wsj
970,78,disaster
971,1,@cfpb
972,192,under
973,13,previous
974,94,administration
975,5,quit!
976,1,cfpb
977,1794,by
978,3,administrations
979,3,pick.
980,4,institutions
981,7,devastated
982,19,unable
983,16,properly
984,31,serve
985,9,public.
986,26,life!
987,331,happy
988,1,#smallbusinesssaturday!a
989,216,support
990,34,community
991,2,creators
992,9,shopping
993,1,locally
994,1,#smallbiz.
995,1,#shopsmall
996,1,https://t.co/pbqabhvl7k
997,65,magazine
998,149,called
999,366,say
1000,58,probably
1001,55,named
