word,freq,probability,freq_iterated,probability_iterated
something,87,0.0002842403431793753,88,0.0002608466251485788
re,87,0.0002842403431793753,88,0.0002608466251485788
pay,87,0.0002842403431793753,88,0.0002608466251485788
looks,87,0.0002842403431793753,88,0.0002608466251485788
debt,87,0.0002842403431793753,88,0.0002608466251485788
pm,87,0.0002842403431793753,88,0.0002608466251485788
4,87,0.0002842403431793753,88,0.0002608466251485788
open,86,0.00028097321279800313,87,0.0002578824589537086
times,86,0.00028097321279800313,87,0.0002578824589537086
attack,86,0.00028097321279800313,87,0.0002578824589537086
seanhannity,86,0.00028097321279800313,87,0.0002578824589537086
knows,86,0.00028097321279800313,87,0.0002578824589537086
mexico,85,0.000277706082416631,86,0.0002549182927588384
through,85,0.000277706082416631,86,0.0002549182927588384
enough,84,0.00027443895203525885,85,0.00025195412656396816
same,84,0.00027443895203525885,85,0.00025195412656396816
ohio,84,0.00027443895203525885,85,0.00025195412656396816
north,84,0.00027443895203525885,85,0.00025195412656396816
wo,84,0.00027443895203525885,85,0.00025195412656396816
winning,84,0.00027443895203525885,85,0.00025195412656396816
others,84,0.00027443895203525885,85,0.00025195412656396816
club,84,0.00027443895203525885,85,0.00025195412656396816
respect,83,0.00027117182165388676,84,0.00024898996036909796
democrats,83,0.00027117182165388676,84,0.00024898996036909796
away,83,0.00027117182165388676,84,0.00024898996036909796
successful,83,0.00027117182165388676,84,0.00024898996036909796
call,83,0.00027117182165388676,84,0.00024898996036909796
during,82,0.0002679046912725146,83,0.00024602579417422777
candidate,82,0.0002679046912725146,83,0.00024602579417422777
press,82,0.0002679046912725146,83,0.00024602579417422777
meeting,81,0.00026463756089114247,82,0.00024306162797935754
ted,81,0.00026463756089114247,82,0.00024306162797935754
rubio,81,0.00026463756089114247,82,0.00024306162797935754
until,81,0.00026463756089114247,82,0.00024306162797935754
doral,81,0.00026463756089114247,82,0.00024306162797935754
disaster,81,0.00026463756089114247,82,0.00024306162797935754
nation,81,0.00026463756089114247,82,0.00024306162797935754
birthday,80,0.00026137043050977033,81,0.00024009746178448732
sunday,80,0.00026137043050977033,81,0.00024009746178448732
leaders,80,0.00026137043050977033,81,0.00024009746178448732
fix,79,0.00025810330012839824,80,0.00023713329558961712
truly,79,0.00025810330012839824,80,0.00023713329558961712
already,79,0.00025810330012839824,80,0.00023713329558961712
history,79,0.00025810330012839824,80,0.00023713329558961712
ready,79,0.00025810330012839824,80,0.00023713329558961712
energy,78,0.0002548361697470261,79,0.0002341691293947469
potus,78,0.0002548361697470261,79,0.0002341691293947469
oil,78,0.0002548361697470261,79,0.0002341691293947469
winner,78,0.0002548361697470261,79,0.0002341691293947469
'd,78,0.0002548361697470261,79,0.0002341691293947469
use,78,0.0002548361697470261,79,0.0002341691293947469
presidential,78,0.0002548361697470261,79,0.0002341691293947469
having,78,0.0002548361697470261,79,0.0002341691293947469
wind,77,0.00025156903936565396,78,0.0002312049631998767
gets,77,0.00025156903936565396,78,0.0002312049631998767
political,77,0.00025156903936565396,78,0.0002312049631998767
tell,77,0.00025156903936565396,78,0.0002312049631998767
&,77,0.00025156903936565396,78,0.0002312049631998767
told,77,0.00025156903936565396,78,0.0002312049631998767
city,77,0.00025156903936565396,78,0.0002312049631998767
star,77,0.00025156903936565396,78,0.0002312049631998767
10,77,0.00025156903936565396,78,0.0002312049631998767
building,77,0.00025156903936565396,78,0.0002312049631998767
megynkelly,76,0.0002483019089842818,77,0.00022824079700500648
called,76,0.0002483019089842818,77,0.00022824079700500648
hit,76,0.0002483019089842818,77,0.00022824079700500648
trade,75,0.0002450347786029097,76,0.00022527663081013625
failed,75,0.0002450347786029097,76,0.00022527663081013625
iraq,75,0.0002450347786029097,76,0.00022527663081013625
plan,75,0.0002450347786029097,76,0.00022527663081013625
video,75,0.0002450347786029097,76,0.00022527663081013625
women,75,0.0002450347786029097,76,0.00022527663081013625
millions,75,0.0002450347786029097,76,0.00022527663081013625
fun,75,0.0002450347786029097,76,0.00022527663081013625
mind,74,0.00024176764822153758,75,0.00022231246461526606
gave,74,0.00024176764822153758,75,0.00022231246461526606
south,74,0.00024176764822153758,75,0.00022231246461526606
fight,74,0.00024176764822153758,75,0.00022231246461526606
makes,74,0.00024176764822153758,75,0.00022231246461526606
worse,74,0.00024176764822153758,75,0.00022231246461526606
happen,74,0.00024176764822153758,75,0.00022231246461526606
fact,74,0.00024176764822153758,75,0.00022231246461526606
